location,info
Hernández,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 136, 'end': 147, 'body': 'Hernández', 'confidence': 0.5721, 'entities': [], 'suggested': True, 'value': 'Hernández', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 234, 'end': 242, 'body': 'Cojutepe', 'confidence': 0.9559, 'entities': [], 'suggested': True, 'value': 'Cojutepe', 'type': 'value'}]"
Cojutepe,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 136, 'end': 147, 'body': 'Hernández', 'confidence': 0.5721, 'entities': [], 'suggested': True, 'value': 'Hernández', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 234, 'end': 242, 'body': 'Cojutepe', 'confidence': 0.9559, 'entities': [], 'suggested': True, 'value': 'Cojutepe', 'type': 'value'}]"
Hernández,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 136, 'end': 147, 'body': 'Hernández', 'confidence': 0.5721, 'entities': [], 'suggested': True, 'value': 'Hernández', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 234, 'end': 242, 'body': 'Cojutepe', 'confidence': 0.9559, 'entities': [], 'suggested': True, 'value': 'Cojutepe', 'type': 'value'}]"
Cojutepe,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 136, 'end': 147, 'body': 'Hernández', 'confidence': 0.5721, 'entities': [], 'suggested': True, 'value': 'Hernández', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 234, 'end': 242, 'body': 'Cojutepe', 'confidence': 0.9559, 'entities': [], 'suggested': True, 'value': 'Cojutepe', 'type': 'value'}]"
Hernández,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 136, 'end': 147, 'body': 'Hernández', 'confidence': 0.5721, 'entities': [], 'suggested': True, 'value': 'Hernández', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 234, 'end': 242, 'body': 'Cojutepe', 'confidence': 0.9559, 'entities': [], 'suggested': True, 'value': 'Cojutepe', 'type': 'value'}]"
Cojutepe,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 136, 'end': 147, 'body': 'Hernández', 'confidence': 0.5721, 'entities': [], 'suggested': True, 'value': 'Hernández', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 234, 'end': 242, 'body': 'Cojutepe', 'confidence': 0.9559, 'entities': [], 'suggested': True, 'value': 'Cojutepe', 'type': 'value'}]"
Sarbia Maldonado Salgado,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.6671, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.892, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
"del Pino, Cdad.","[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.6671, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.892, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
San Salvador.,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.6671, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.892, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
Sarbia Maldonado Salgado,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.7584, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.9218, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
"del Pino, Cdad.","[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.7584, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.9218, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
San Salvador.,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.7584, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.9218, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
Sarbia Maldonado Salgado,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.6671, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.892, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
"del Pino, Cdad.","[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.6671, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.892, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
San Salvador.,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.6671, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.892, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
Sarbia Maldonado Salgado,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.6579, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.8744, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
"del Pino, Cdad.","[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.6579, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.8744, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
San Salvador.,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.6579, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.8744, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
Sarbia Maldonado Salgado,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.6671, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.892, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
"del Pino, Cdad.","[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.6671, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.892, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
San Salvador.,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 62, 'end': 86, 'body': 'Sarbia Maldonado Salgado', 'confidence': 0.9341, 'entities': [], 'suggested': True, 'value': 'Sarbia Maldonado Salgado', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 205, 'end': 220, 'body': 'del Pino, Cdad.', 'confidence': 0.6671, 'entities': [], 'suggested': True, 'value': 'del Pino, Cdad.', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 230, 'end': 243, 'body': 'San Salvador.', 'confidence': 0.892, 'entities': [], 'suggested': True, 'value': 'San Salvador.', 'type': 'value'}]"
La,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 89, 'end': 91, 'body': 'La', 'confidence': 0.8479, 'entities': [], 'suggested': True, 'value': 'La', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 101, 'end': 106, 'body': 'Nueva', 'confidence': 0.9132, 'entities': [], 'suggested': True, 'value': 'Nueva', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 112, 'end': 157, 'body': 'cantón Potrero de Batres, San Isidro, Cabañas', 'confidence': 0.8963, 'entities': [], 'suggested': True, 'value': 'cantón Potrero de Batres, San Isidro, Cabañas', 'type': 'value'}]"
Nueva,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 89, 'end': 91, 'body': 'La', 'confidence': 0.8479, 'entities': [], 'suggested': True, 'value': 'La', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 101, 'end': 106, 'body': 'Nueva', 'confidence': 0.9132, 'entities': [], 'suggested': True, 'value': 'Nueva', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 112, 'end': 157, 'body': 'cantón Potrero de Batres, San Isidro, Cabañas', 'confidence': 0.8963, 'entities': [], 'suggested': True, 'value': 'cantón Potrero de Batres, San Isidro, Cabañas', 'type': 'value'}]"
"cantón Potrero de Batres, San Isidro, Cabañas","[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 89, 'end': 91, 'body': 'La', 'confidence': 0.8479, 'entities': [], 'suggested': True, 'value': 'La', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 101, 'end': 106, 'body': 'Nueva', 'confidence': 0.9132, 'entities': [], 'suggested': True, 'value': 'Nueva', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 112, 'end': 157, 'body': 'cantón Potrero de Batres, San Isidro, Cabañas', 'confidence': 0.8963, 'entities': [], 'suggested': True, 'value': 'cantón Potrero de Batres, San Isidro, Cabañas', 'type': 'value'}]"
La,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 89, 'end': 91, 'body': 'La', 'confidence': 0.8479, 'entities': [], 'suggested': True, 'value': 'La', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 101, 'end': 106, 'body': 'Nueva', 'confidence': 0.9132, 'entities': [], 'suggested': True, 'value': 'Nueva', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 112, 'end': 157, 'body': 'cantón Potrero de Batres, San Isidro, Cabañas', 'confidence': 0.8963, 'entities': [], 'suggested': True, 'value': 'cantón Potrero de Batres, San Isidro, Cabañas', 'type': 'value'}]"
Nueva,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 89, 'end': 91, 'body': 'La', 'confidence': 0.8479, 'entities': [], 'suggested': True, 'value': 'La', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 101, 'end': 106, 'body': 'Nueva', 'confidence': 0.9132, 'entities': [], 'suggested': True, 'value': 'Nueva', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 112, 'end': 157, 'body': 'cantón Potrero de Batres, San Isidro, Cabañas', 'confidence': 0.8963, 'entities': [], 'suggested': True, 'value': 'cantón Potrero de Batres, San Isidro, Cabañas', 'type': 'value'}]"
"cantón Potrero de Batres, San Isidro, Cabañas","[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 89, 'end': 91, 'body': 'La', 'confidence': 0.8479, 'entities': [], 'suggested': True, 'value': 'La', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 101, 'end': 106, 'body': 'Nueva', 'confidence': 0.9132, 'entities': [], 'suggested': True, 'value': 'Nueva', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 112, 'end': 157, 'body': 'cantón Potrero de Batres, San Isidro, Cabañas', 'confidence': 0.8963, 'entities': [], 'suggested': True, 'value': 'cantón Potrero de Batres, San Isidro, Cabañas', 'type': 'value'}]"
La,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 89, 'end': 91, 'body': 'La', 'confidence': 0.8479, 'entities': [], 'suggested': True, 'value': 'La', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 101, 'end': 106, 'body': 'Nueva', 'confidence': 0.9132, 'entities': [], 'suggested': True, 'value': 'Nueva', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 112, 'end': 157, 'body': 'cantón Potrero de Batres, San Isidro, Cabañas', 'confidence': 0.8963, 'entities': [], 'suggested': True, 'value': 'cantón Potrero de Batres, San Isidro, Cabañas', 'type': 'value'}]"
Nueva,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 89, 'end': 91, 'body': 'La', 'confidence': 0.8479, 'entities': [], 'suggested': True, 'value': 'La', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 101, 'end': 106, 'body': 'Nueva', 'confidence': 0.9132, 'entities': [], 'suggested': True, 'value': 'Nueva', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 112, 'end': 157, 'body': 'cantón Potrero de Batres, San Isidro, Cabañas', 'confidence': 0.8963, 'entities': [], 'suggested': True, 'value': 'cantón Potrero de Batres, San Isidro, Cabañas', 'type': 'value'}]"
"cantón Potrero de Batres, San Isidro, Cabañas","[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 89, 'end': 91, 'body': 'La', 'confidence': 0.8479, 'entities': [], 'suggested': True, 'value': 'La', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 101, 'end': 106, 'body': 'Nueva', 'confidence': 0.9132, 'entities': [], 'suggested': True, 'value': 'Nueva', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 112, 'end': 157, 'body': 'cantón Potrero de Batres, San Isidro, Cabañas', 'confidence': 0.8963, 'entities': [], 'suggested': True, 'value': 'cantón Potrero de Batres, San Isidro, Cabañas', 'type': 'value'}]"
La,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 89, 'end': 91, 'body': 'La', 'confidence': 0.8479, 'entities': [], 'suggested': True, 'value': 'La', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 101, 'end': 106, 'body': 'Nueva', 'confidence': 0.9132, 'entities': [], 'suggested': True, 'value': 'Nueva', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 112, 'end': 157, 'body': 'cantón Potrero de Batres, San Isidro, Cabañas', 'confidence': 0.8963, 'entities': [], 'suggested': True, 'value': 'cantón Potrero de Batres, San Isidro, Cabañas', 'type': 'value'}]"
Nueva,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 89, 'end': 91, 'body': 'La', 'confidence': 0.8479, 'entities': [], 'suggested': True, 'value': 'La', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 101, 'end': 106, 'body': 'Nueva', 'confidence': 0.9132, 'entities': [], 'suggested': True, 'value': 'Nueva', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 112, 'end': 157, 'body': 'cantón Potrero de Batres, San Isidro, Cabañas', 'confidence': 0.8963, 'entities': [], 'suggested': True, 'value': 'cantón Potrero de Batres, San Isidro, Cabañas', 'type': 'value'}]"
